4k_twolevel301_CUDA_JPEG, start_time:1462770050, end_time:1462770090, run_time:40, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_CP, start_time:1462769705, end_time:1462770090, run_time:385, exit_point:2, kernel_count:1
4k_swl2_CUDA_JPEG, start_time:1462770042, end_time:1462770092, run_time:50, exit_point:2, kernel_count:1
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770093, run_time:23, exit_point:2, kernel_count:5
4k_twolevel301_CUDA_BFS2, start_time:1462770069, end_time:1462770093, run_time:24, exit_point:2, kernel_count:6
4k_gto_CUDA_JPEG, start_time:1462770054, end_time:1462770094, run_time:40, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_BFS2, start_time:1462770068, end_time:1462770094, run_time:26, exit_point:2, kernel_count:6
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770095, run_time:22, exit_point:2, kernel_count:5
4k_twolevel1201_CUDA_BFS2, start_time:1462770068, end_time:1462770095, run_time:27, exit_point:2, kernel_count:6
4k_twolevel301_CUDA_RAY, start_time:1462769790, end_time:1462770095, run_time:305, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_CP, start_time:1462769704, end_time:1462770095, run_time:391, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770095, run_time:3, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_RAY, start_time:1462769785, end_time:1462770097, run_time:312, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770098, run_time:6, exit_point:2, kernel_count:2
4k_gto_CUDA_BFS2, start_time:1462770070, end_time:1462770098, run_time:28, exit_point:2, kernel_count:6
4k_lrr_CUDA_BFS2, start_time:1462770073, end_time:1462770099, run_time:26, exit_point:2, kernel_count:6
4k_twolevel601_CUDA_CP, start_time:1462769710, end_time:1462770099, run_time:389, exit_point:2, kernel_count:1
4k_twolevel301_CUDA_CP, start_time:1462769709, end_time:1462770101, run_time:392, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770102, run_time:10, exit_point:2, kernel_count:3
4k_gto_CUDA_LPS, start_time:1462769749, end_time:1462770103, run_time:354, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770104, run_time:12, exit_point:2, kernel_count:4
4k_lrr_CUDA_CP, start_time:1462769707, end_time:1462770108, run_time:401, exit_point:2, kernel_count:1
2k_swl8_CUDA_CP, start_time:1462769695, end_time:1462770109, run_time:414, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_LPS, start_time:1462769745, end_time:1462770110, run_time:365, exit_point:2, kernel_count:1
4k_swl8_CUDA_CP, start_time:1462769700, end_time:1462770110, run_time:410, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770113, run_time:21, exit_point:2, kernel_count:5
_CUDA_JPEG, start_time:1462770048, end_time:1462770115, run_time:67, exit_point:2, kernel_count:1
2k_swl4_CUDA_CP, start_time:1462769694, end_time:1462770115, run_time:421, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS2, start_time:1462770092, end_time:1462770117, run_time:25, exit_point:2, kernel_count:6
